pattern,category,task_id,task_domain,error,stop_reason
rr2,A,fact_01,fact,False,Text 'TERMINATE' mentioned
rr2,A,fact_01,fact,False,Text 'TERMINATE' mentioned
rr2,A,fact_01,fact,False,Text 'TERMINATE' mentioned
rr2,A,fact_02,fact,False,Text 'TERMINATE' mentioned
rr2,A,fact_02,fact,False,Text 'TERMINATE' mentioned
rr2,A,fact_02,fact,False,Text 'TERMINATE' mentioned
rr2,A,fact_03,fact,False,Text 'TERMINATE' mentioned
rr2,A,fact_03,fact,False,Text 'TERMINATE' mentioned
rr2,A,fact_03,fact,False,Text 'TERMINATE' mentioned
rr2,A,fact_04,fact,False,Text 'TERMINATE' mentioned
rr2,A,fact_04,fact,False,Text 'TERMINATE' mentioned
rr2,A,fact_04,fact,False,Text 'TERMINATE' mentioned
rr2,A,fact_05,fact,False,Text 'TERMINATE' mentioned
rr2,A,fact_05,fact,False,Text 'TERMINATE' mentioned
rr2,A,fact_05,fact,False,Text 'TERMINATE' mentioned
rr2,A,crea_01,crea,False,Text 'TERMINATE' mentioned
rr2,A,crea_01,crea,False,Text 'TERMINATE' mentioned
rr2,A,crea_01,crea,False,Text 'TERMINATE' mentioned
rr2,A,crea_02,crea,False,Text 'TERMINATE' mentioned
rr2,A,crea_02,crea,False,Text 'TERMINATE' mentioned
rr2,A,crea_02,crea,False,Text 'TERMINATE' mentioned
rr2,A,crea_03,crea,False,Text 'TERMINATE' mentioned
rr2,A,crea_03,crea,False,Text 'TERMINATE' mentioned
rr2,A,crea_03,crea,False,Text 'TERMINATE' mentioned
rr2,A,crea_04,crea,False,Text 'TERMINATE' mentioned
rr2,A,crea_04,crea,False,Text 'TERMINATE' mentioned
rr2,A,crea_04,crea,False,Text 'TERMINATE' mentioned
rr2,A,crea_05,crea,False,Text 'TERMINATE' mentioned
rr2,A,crea_05,crea,False,Text 'TERMINATE' mentioned
rr2,A,crea_05,crea,False,Text 'TERMINATE' mentioned
rr2,A,anal_01,anal,False,Text 'TERMINATE' mentioned
rr2,A,anal_01,anal,False,Text 'TERMINATE' mentioned
rr2,A,anal_01,anal,False,Text 'TERMINATE' mentioned
rr2,A,anal_02,anal,False,Text 'TERMINATE' mentioned
rr2,A,anal_02,anal,False,Text 'TERMINATE' mentioned
rr2,A,anal_02,anal,False,Text 'TERMINATE' mentioned
rr2,A,anal_03,anal,False,Text 'TERMINATE' mentioned
rr2,A,anal_03,anal,False,Text 'TERMINATE' mentioned
rr2,A,anal_03,anal,False,Text 'TERMINATE' mentioned
rr2,A,anal_04,anal,False,Text 'TERMINATE' mentioned
rr2,A,anal_04,anal,False,Text 'TERMINATE' mentioned
rr2,A,anal_04,anal,False,Text 'TERMINATE' mentioned
rr2,A,anal_05,anal,False,Text 'TERMINATE' mentioned
rr2,A,anal_05,anal,False,Text 'TERMINATE' mentioned
rr2,A,anal_05,anal,False,Text 'TERMINATE' mentioned
rr2,A,tech_01,tech,False,
rr2,A,tech_01,tech,False,
rr2,A,tech_01,tech,False,
rr2,A,tech_02,tech,False,Text 'TERMINATE' mentioned
rr2,A,tech_02,tech,False,Text 'TERMINATE' mentioned
rr2,A,tech_02,tech,False,Text 'TERMINATE' mentioned
rr2,A,tech_03,tech,False,Text 'TERMINATE' mentioned
rr2,A,tech_03,tech,False,Text 'TERMINATE' mentioned
rr2,A,tech_03,tech,False,Text 'TERMINATE' mentioned
rr2,A,tech_04,tech,False,Text 'TERMINATE' mentioned
rr2,A,tech_04,tech,False,Text 'TERMINATE' mentioned
rr2,A,tech_04,tech,False,Text 'TERMINATE' mentioned
rr2,A,tech_05,tech,False,Text 'TERMINATE' mentioned
rr2,A,tech_05,tech,False,
rr2,A,tech_05,tech,False,
rr3,A,fact_01,fact,False,Text 'TERMINATE' mentioned
rr3,A,fact_01,fact,False,Text 'TERMINATE' mentioned
rr3,A,fact_01,fact,False,Text 'TERMINATE' mentioned
rr3,A,fact_02,fact,False,Text 'TERMINATE' mentioned
rr3,A,fact_02,fact,False,Text 'TERMINATE' mentioned
rr3,A,fact_02,fact,False,Text 'TERMINATE' mentioned
rr3,A,fact_03,fact,False,Text 'TERMINATE' mentioned
rr3,A,fact_03,fact,False,Text 'TERMINATE' mentioned
rr3,A,fact_03,fact,False,Text 'TERMINATE' mentioned
rr3,A,fact_04,fact,False,Text 'TERMINATE' mentioned
rr3,A,fact_04,fact,False,Text 'TERMINATE' mentioned
rr3,A,fact_04,fact,False,Text 'TERMINATE' mentioned
rr3,A,fact_05,fact,False,Text 'TERMINATE' mentioned
rr3,A,fact_05,fact,False,Text 'TERMINATE' mentioned
rr3,A,fact_05,fact,False,Text 'TERMINATE' mentioned
rr3,A,crea_01,crea,False,Text 'TERMINATE' mentioned
rr3,A,crea_01,crea,False,Text 'TERMINATE' mentioned
rr3,A,crea_01,crea,False,
rr3,A,crea_02,crea,False,Text 'TERMINATE' mentioned
rr3,A,crea_02,crea,False,Text 'TERMINATE' mentioned
rr3,A,crea_02,crea,False,Text 'TERMINATE' mentioned
rr3,A,crea_03,crea,False,Text 'TERMINATE' mentioned
rr3,A,crea_03,crea,False,Text 'TERMINATE' mentioned
rr3,A,crea_03,crea,False,Text 'TERMINATE' mentioned
rr3,A,crea_04,crea,False,Text 'TERMINATE' mentioned
rr3,A,crea_04,crea,False,
rr3,A,crea_04,crea,False,Text 'TERMINATE' mentioned
