experiment_id,task_id,pattern,repeat_index,pattern_category,agent_count,stop_reason,duration_sec,total_tokens_in,total_tokens_out,total_tokens,turn_count,agent_turn_count,terminated_by,error,quality_score,converged_at
exp07,sci_easy,solo,0,S,1,Text 'TERMINATE' mentioned,24.4,75,360,435,2,1,keyword,,,
exp07,sci_med,solo,0,S,1,Text 'TERMINATE' mentioned,26.73,80,509,589,2,1,keyword,,,
exp07,sci_hard,solo,0,S,1,Text 'TERMINATE' mentioned,121.26,104,4333,4437,2,1,keyword,,,
exp07,cs_easy,solo,0,S,1,Text 'TERMINATE' mentioned,27.85,73,505,578,2,1,keyword,,,
exp07,cs_med,solo,0,S,1,Text 'TERMINATE' mentioned,41.63,82,961,1043,2,1,keyword,,,
exp07,cs_hard,solo,0,S,1,Text 'TERMINATE' mentioned,266.34,113,20016,20129,2,1,keyword,,,
exp07,hist_easy,solo,0,S,1,Text 'TERMINATE' mentioned,27.3,68,340,408,2,1,keyword,,,
exp07,hist_med,solo,0,S,1,Text 'TERMINATE' mentioned,38.68,81,774,855,2,1,keyword,,,
exp07,hist_hard,solo,0,S,1,Text 'TERMINATE' mentioned,71.12,108,2163,2271,2,1,keyword,,,
exp07,eng_easy,solo,0,S,1,Text 'TERMINATE' mentioned,27.4,73,372,445,2,1,keyword,,,
exp07,eng_med,solo,0,S,1,Text 'TERMINATE' mentioned,50.71,85,1538,1623,2,1,keyword,,,
exp07,eng_hard,solo,0,S,1,Text 'TERMINATE' mentioned,88.93,110,3593,3703,2,1,keyword,,,
exp07,biz_easy,solo,0,S,1,Text 'TERMINATE' mentioned,34.89,90,801,891,2,1,keyword,,,
exp07,biz_med,solo,0,S,1,Text 'TERMINATE' mentioned,48.38,93,1475,1568,2,1,keyword,,,
exp07,biz_hard,solo,0,S,1,Text 'TERMINATE' mentioned,97.41,110,3478,3588,2,1,keyword,,,
exp07,sci_easy,swm3,0,B2,3,"Maximum number of messages 10 reached, current message count: 10",204.3,4089,2028,6117,28,27,max_messages,,,
exp07,sci_med,swm3,0,B2,3,Text 'TERMINATE' mentioned,147.77,2394,2676,5070,17,16,keyword,,,
exp07,sci_hard,swm3,0,B2,3,Text 'TERMINATE' mentioned,101.36,684,3929,4613,5,4,keyword,,,
exp07,cs_easy,swm3,0,B2,3,"Maximum number of messages 10 reached, current message count: 10",216.2,5711,3462,9173,22,21,max_messages,,,
exp07,cs_med,swm3,0,B2,3,Text 'TERMINATE' mentioned,64.72,640,1739,2379,5,4,keyword,,,
exp07,cs_hard,swm3,0,B2,3,"Maximum number of messages 10 reached, current message count: 10",347.52,9356,15687,25043,22,21,max_messages,,,
exp07,hist_easy,swm3,0,B2,3,Text 'TERMINATE' mentioned,41.96,612,504,1116,5,4,keyword,,,
exp07,hist_med,swm3,0,B2,3,Text 'TERMINATE' mentioned,64.38,638,1469,2107,5,4,keyword,,,
exp07,hist_hard,swm3,0,B2,3,Text 'TERMINATE' mentioned,106.32,692,3519,4211,5,4,keyword,,,
exp07,eng_easy,swm3,0,B2,3,"Maximum number of messages 10 reached, current message count: 10",201.79,5507,2882,8389,22,21,max_messages,,,
exp07,eng_med,swm3,0,B2,3,"Maximum number of messages 10 reached, current message count: 10",269.56,4179,5904,10083,26,25,max_messages,,,
exp07,eng_hard,swm3,0,B2,3,"Maximum number of messages 10 reached, current message count: 10",378.57,8066,11278,19344,22,21,max_messages,,,
exp07,biz_easy,swm3,0,B2,3,Text 'TERMINATE' mentioned,57.56,656,1279,1935,5,4,keyword,,,
exp07,biz_med,swm3,0,B2,3,Text 'TERMINATE' mentioned,66.81,662,1504,2166,5,4,keyword,,,
exp07,biz_hard,swm3,0,B2,3,Text 'TERMINATE' mentioned,99.03,696,3175,3871,5,4,keyword,,,
exp07,sci_easy,refl2,0,C,2,Text 'APPROVED' mentioned,53.61,556,940,1496,3,2,keyword,,,
exp07,sci_med,refl2,0,C,2,Text 'APPROVED' mentioned,60.26,1065,1313,2378,3,2,keyword,,,
exp07,sci_hard,refl2,0,C,2,Text 'APPROVED' mentioned,196.53,105,8601,8706,3,2,keyword,,,
exp07,cs_easy,refl2,0,C,2,Text 'APPROVED' mentioned,50.53,850,949,1799,3,2,keyword,,,
exp07,cs_med,refl2,0,C,2,Text 'APPROVED' mentioned,70.03,1794,1955,3749,3,2,keyword,,,
