experiment_id,task_id,pattern,repeat_index,pattern_category,agent_count,stop_reason,duration_sec,total_tokens_in,total_tokens_out,total_tokens,turn_count,agent_turn_count,terminated_by,error,quality_score,converged_at
exp07,sci_easy,solo,0,S,1,Text 'TERMINATE' mentioned,8.64,59,236,295,3,2,keyword,,,
exp07,sci_med,solo,0,S,1,Text 'TERMINATE' mentioned,12.32,65,539,604,3,2,keyword,,,
exp07,sci_hard,solo,0,S,1,Text 'TERMINATE' mentioned,23.48,86,1425,1511,3,2,keyword,,,
exp07,cs_easy,solo,0,S,1,Text 'TERMINATE' mentioned,10.85,58,479,537,3,2,keyword,,,
exp07,cs_med,solo,0,S,1,Text 'TERMINATE' mentioned,14.66,64,896,960,3,2,keyword,,,
exp07,cs_hard,solo,0,S,1,Text 'TERMINATE' mentioned,22.38,92,1363,1455,3,2,keyword,,,
exp07,hist_easy,solo,0,S,1,Text 'TERMINATE' mentioned,6.57,55,188,243,3,2,keyword,,,
exp07,hist_med,solo,0,S,1,Text 'TERMINATE' mentioned,16.32,68,844,912,3,2,keyword,,,
exp07,hist_hard,solo,0,S,1,Text 'TERMINATE' mentioned,24.47,89,1341,1430,3,2,keyword,,,
exp07,eng_easy,solo,0,S,1,Text 'TERMINATE' mentioned,5.68,59,164,223,3,2,keyword,,,
exp07,eng_med,solo,0,S,1,Text 'TERMINATE' mentioned,14.96,69,813,882,3,2,keyword,,,
exp07,eng_hard,solo,0,S,1,Text 'TERMINATE' mentioned,21.56,89,1143,1232,3,2,keyword,,,
exp07,biz_easy,solo,0,S,1,Text 'TERMINATE' mentioned,13.25,74,702,776,3,2,keyword,,,
exp07,biz_med,solo,0,S,1,Text 'TERMINATE' mentioned,21.17,78,1127,1205,3,2,keyword,,,
exp07,biz_hard,solo,0,S,1,Text 'TERMINATE' mentioned,23.19,91,1708,1799,3,2,keyword,,,
exp07,sci_easy,swm3,0,B2,3,"Maximum number of messages 10 reached, current message count: 10",50.81,6947,717,7664,23,22,max_messages,,,
exp07,sci_med,swm3,0,B2,3,"Maximum number of messages 10 reached, current message count: 10",66.85,10446,1235,11681,23,22,max_messages,,,
exp07,sci_hard,swm3,0,B2,3,"Maximum number of messages 10 reached, current message count: 10",72.68,11910,1340,13250,23,22,max_messages,,,
exp07,cs_easy,swm3,0,B2,3,"Maximum number of messages 10 reached, current message count: 10",57.64,8165,884,9049,23,22,max_messages,,,
exp07,cs_med,swm3,0,B2,3,"Maximum number of messages 10 reached, current message count: 10",66.3,9889,1169,11058,22,21,max_messages,,,
exp07,cs_hard,swm3,0,B2,3,"Maximum number of messages 10 reached, current message count: 10",74.87,12527,1521,14048,23,22,max_messages,,,
exp07,hist_easy,swm3,0,B2,3,Text 'TERMINATE' mentioned,13.72,716,280,996,7,6,keyword,,,
exp07,hist_med,swm3,0,B2,3,Text 'TERMINATE' mentioned,29.15,730,1167,1897,7,6,keyword,,,
exp07,hist_hard,swm3,0,B2,3,Text 'TERMINATE' mentioned,24.81,784,1028,1812,7,6,keyword,,,
exp07,eng_easy,swm3,0,B2,3,"Maximum number of messages 10 reached, current message count: 10",78.6,6104,620,6724,23,22,max_messages,,,
exp07,eng_med,swm3,0,B2,3,"Maximum number of messages 10 reached, current message count: 10",77.96,13196,1674,14870,23,22,max_messages,,,
exp07,eng_hard,swm3,0,B2,3,"Maximum number of messages 10 reached, current message count: 10",96.03,13196,1897,15093,22,21,max_messages,,,
