experiment_id,task_id,pattern,repeat_index,pattern_category,agent_count,stop_reason,duration_sec,total_tokens_in,total_tokens_out,total_tokens,turn_count,agent_turn_count,terminated_by,error,quality_score,converged_at
exp07,sci_easy,solo,0,S,1,Text 'TERMINATE' mentioned,4.39,44,372,416,2,1,keyword,,,
exp07,sci_med,solo,0,S,1,Text 'TERMINATE' mentioned,5.94,50,678,728,2,1,keyword,,,
exp07,sci_hard,solo,0,S,1,Text 'TERMINATE' mentioned,11.7,71,1401,1472,2,1,keyword,,,
exp07,cs_easy,solo,0,S,1,Text 'TERMINATE' mentioned,5.24,44,591,635,2,1,keyword,,,
exp07,cs_med,solo,0,S,1,Text 'TERMINATE' mentioned,9.57,48,1023,1071,2,1,keyword,,,
exp07,cs_hard,solo,0,S,1,Text 'TERMINATE' mentioned,14.78,80,1795,1875,2,1,keyword,,,
exp07,hist_easy,solo,0,S,1,Text 'TERMINATE' mentioned,2.4,40,200,240,2,1,keyword,,,
exp07,hist_med,solo,0,S,1,Text 'TERMINATE' mentioned,9.72,53,1179,1232,2,1,keyword,,,
exp07,hist_hard,solo,0,S,1,Text 'TERMINATE' mentioned,11.25,73,1314,1387,2,1,keyword,,,
exp07,eng_easy,solo,0,S,1,Text 'TERMINATE' mentioned,3.93,44,410,454,2,1,keyword,,,
exp07,eng_med,solo,0,S,1,Text 'TERMINATE' mentioned,9.51,57,1009,1066,2,1,keyword,,,
exp07,eng_hard,solo,0,S,1,Text 'TERMINATE' mentioned,12.4,78,1446,1524,2,1,keyword,,,
exp07,biz_easy,solo,0,S,1,Text 'TERMINATE' mentioned,7.24,59,874,933,2,1,keyword,,,
exp07,biz_med,solo,0,S,1,Text 'TERMINATE' mentioned,8.44,61,1090,1151,2,1,keyword,,,
exp07,biz_hard,solo,0,S,1,Text 'TERMINATE' mentioned,14.51,78,1591,1669,2,1,keyword,,,
exp07,sci_easy,swm3,0,B2,3,Text 'TERMINATE' mentioned,3.43,171,191,362,6,5,keyword,,,
exp07,sci_med,swm3,0,B2,3,Text 'TERMINATE' mentioned,5.68,185,485,670,6,5,keyword,,,
exp07,sci_hard,swm3,0,B2,3,"Maximum number of messages 10 reached, current message count: 10",16.85,9172,1204,10376,13,12,max_messages,,,
exp07,cs_easy,swm3,0,B2,3,Text 'TERMINATE' mentioned,4.78,168,351,519,6,5,keyword,,,
exp07,cs_med,swm3,0,B2,3,Text 'TERMINATE' mentioned,7.03,182,684,866,6,5,keyword,,,
exp07,cs_hard,swm3,0,B2,3,"Maximum number of messages 10 reached, current message count: 10",20.29,12482,1602,14084,22,21,max_messages,,,
exp07,hist_easy,swm3,0,B2,3,"Maximum number of messages 10 reached, current message count: 10",8.25,1072,71,1143,13,12,max_messages,,,
exp07,hist_med,swm3,0,B2,3,Text 'TERMINATE' mentioned,8.81,186,873,1059,6,5,keyword,,,
exp07,hist_hard,swm3,0,B2,3,Text 'TERMINATE' mentioned,11.35,240,1112,1352,6,5,keyword,,,
exp07,eng_easy,swm3,0,B2,3,Text 'TERMINATE' mentioned,3.06,168,146,314,6,5,keyword,,,
exp07,eng_med,swm3,0,B2,3,"Maximum number of messages 10 reached, current message count: 10",14.49,7279,942,8221,13,12,max_messages,,,
exp07,eng_hard,swm3,0,B2,3,"Maximum number of messages 10 reached, current message count: 10",16.28,7568,957,8525,13,12,max_messages,,,
exp07,biz_easy,swm3,0,B2,3,Text 'TERMINATE' mentioned,7.18,203,727,930,6,5,keyword,,,
exp07,biz_med,swm3,0,B2,3,Text 'TERMINATE' mentioned,7.89,213,799,1012,6,5,keyword,,,
exp07,biz_hard,swm3,0,B2,3,Text 'TERMINATE' mentioned,12.87,247,1386,1633,6,5,keyword,,,
exp07,sci_easy,refl2,0,C,2,Text 'APPROVED' mentioned,9.73,731,854,1585,3,2,keyword,,,
exp07,sci_med,refl2,0,C,2,Text 'APPROVED' mentioned,13.22,819,1524,2343,3,2,keyword,,,
exp07,sci_hard,refl2,0,C,2,Text 'APPROVED' mentioned,22.47,1816,2734,4550,3,2,keyword,,,
exp07,cs_easy,refl2,0,C,2,Text 'APPROVED' mentioned,10.54,903,1291,2194,3,2,keyword,,,
exp07,cs_med,refl2,0,C,2,Text 'APPROVED' mentioned,22.38,1381,2731,4112,3,2,keyword,,,
exp07,cs_hard,refl2,0,C,2,Text 'APPROVED' mentioned,29.19,2773,3516,6289,3,2,keyword,,,
exp07,hist_easy,refl2,0,C,2,Text 'APPROVED' mentioned,6.71,293,682,975,3,2,keyword,,,
exp07,hist_med,refl2,0,C,2,Text 'APPROVED' mentioned,19.41,1268,2197,3465,3,2,keyword,,,
exp07,hist_hard,refl2,0,C,2,Text 'APPROVED' mentioned,24.48,1927,2840,4767,3,2,keyword,,,
exp07,eng_easy,refl2,0,C,2,Text 'APPROVED' mentioned,5.63,546,508,1054,3,2,keyword,,,
exp07,eng_med,refl2,0,C,2,Text 'APPROVED' mentioned,22.83,1534,2587,4121,3,2,keyword,,,
exp07,eng_hard,refl2,0,C,2,Text 'APPROVED' mentioned,25.12,1871,3011,4882,3,2,keyword,,,
exp07,biz_easy,refl2,0,C,2,Text 'APPROVED' mentioned,15.5,1171,1988,3159,3,2,keyword,,,
exp07,biz_med,refl2,0,C,2,Text 'APPROVED' mentioned,16.6,1410,2129,3539,3,2,keyword,,,
exp07,biz_hard,refl2,0,C,2,Text 'APPROVED' mentioned,27.78,2036,3197,5233,3,2,keyword,,,
exp07,sci_easy,sel3,0,B1,3,Text 'TERMINATE' mentioned,22.74,3680,2392,6072,4,3,keyword,,,
exp07,sci_med,sel3,0,B1,3,Text 'TERMINATE' mentioned,37.67,4261,4511,8772,4,3,keyword,,,
exp07,sci_hard,sel3,0,B1,3,Text 'TERMINATE' mentioned,34.81,6107,3553,9660,4,3,keyword,,,
exp07,cs_easy,sel3,0,B1,3,Text 'TERMINATE' mentioned,34.96,6882,4222,11104,4,3,keyword,,,
exp07,cs_med,sel3,0,B1,3,Text 'TERMINATE' mentioned,45.3,4759,5446,10205,4,3,keyword,,,
exp07,cs_hard,sel3,0,B1,3,Text 'TERMINATE' mentioned,62.91,7442,7747,15189,4,3,keyword,,,
exp07,hist_easy,sel3,0,B1,3,Text 'TERMINATE' mentioned,24.95,2240,2376,4616,4,3,keyword,,,
exp07,hist_med,sel3,0,B1,3,Text 'TERMINATE' mentioned,28.85,4062,2991,7053,4,3,keyword,,,
exp07,hist_hard,sel3,0,B1,3,Text 'TERMINATE' mentioned,25.41,4070,2504,6574,4,3,keyword,,,
exp07,eng_easy,sel3,0,B1,3,Text 'TERMINATE' mentioned,35.79,4498,4814,9312,4,3,keyword,,,
exp07,eng_med,sel3,0,B1,3,Text 'TERMINATE' mentioned,32.25,4750,3573,8323,4,3,keyword,,,
exp07,eng_hard,sel3,0,B1,3,Text 'TERMINATE' mentioned,43.27,6198,5000,11198,4,3,keyword,,,
exp07,biz_easy,sel3,0,B1,3,Text 'TERMINATE' mentioned,49.46,5303,5440,10743,4,3,keyword,,,
exp07,biz_med,sel3,0,B1,3,Text 'TERMINATE' mentioned,32.76,3821,4148,7969,4,3,keyword,,,
exp07,biz_hard,sel3,0,B1,3,Text 'TERMINATE' mentioned,34.12,6166,3420,9586,4,3,keyword,,,
exp07,sci_easy,debate3,0,C,3,Text 'VERDICT' mentioned,37.98,10065,3667,13732,6,5,keyword,,,
exp07,sci_med,debate3,0,C,3,Text 'VERDICT' mentioned,36.4,10237,3481,13718,6,5,keyword,,,
exp07,sci_hard,debate3,0,C,3,Text 'VERDICT' mentioned,80.23,24967,8595,33562,7,6,keyword,,,
exp07,cs_easy,debate3,0,C,3,Text 'VERDICT' mentioned,38.72,8288,4305,12593,5,4,keyword,,,
exp07,cs_med,debate3,0,C,3,Text 'VERDICT' mentioned,39.8,8041,4055,12096,5,4,keyword,,,
exp07,cs_hard,debate3,0,C,3,Text 'VERDICT' mentioned,100.46,37089,12514,49603,7,6,keyword,,,
exp07,hist_easy,debate3,0,C,3,Text 'VERDICT' mentioned,54.48,13507,5070,18577,7,6,keyword,,,
exp07,hist_med,debate3,0,C,3,Text 'VERDICT' mentioned,55.69,19848,6307,26155,7,6,keyword,,,
exp07,hist_hard,debate3,0,C,3,Text 'VERDICT' mentioned,65.0,21512,6884,28396,7,6,keyword,,,
exp07,eng_easy,debate3,0,C,3,Text 'VERDICT' mentioned,30.36,6136,3221,9357,5,4,keyword,,,
exp07,eng_med,debate3,0,C,3,Text 'VERDICT' mentioned,55.23,13591,6022,19613,6,5,keyword,,,
exp07,eng_hard,debate3,0,C,3,Text 'VERDICT' mentioned,98.32,32885,11631,44516,7,6,keyword,,,
exp07,biz_easy,debate3,0,C,3,Text 'VERDICT' mentioned,45.82,12908,5006,17914,6,5,keyword,,,
exp07,biz_med,debate3,0,C,3,Text 'VERDICT' mentioned,57.4,13523,6442,19965,6,5,keyword,,,
exp07,biz_hard,debate3,0,C,3,Text 'VERDICT' mentioned,45.55,12135,5590,17725,5,4,keyword,,,
