experiment_id,task_id,pattern,repeat_index,pattern_category,agent_count,stop_reason,duration_sec,total_tokens_in,total_tokens_out,total_tokens,turn_count,agent_turn_count,terminated_by,error,quality_score,converged_at
exp05_hybrid_l0.1,sci_01,swm4,0,B2,4,Functional termination condition met,52.51,1026,806,1832,10,9,adaptive_hybrid,,,
exp05_hybrid_l0.1,sci_02,swm4,0,B2,4,"Text 'TERMINATE' mentioned, Functional termination condition met",66.05,3995,2441,6436,6,5,keyword_hybrid,,,
exp05_hybrid_l0.1,sci_03,swm4,0,B2,4,Functional termination condition met,52.59,1095,1496,2591,10,9,adaptive_hybrid,,,
exp05_hybrid_l0.1,cs_01,swm4,0,B2,4,Functional termination condition met,55.83,1035,1605,2640,10,9,adaptive_hybrid,,,
exp05_hybrid_l0.1,cs_02,swm4,0,B2,4,Functional termination condition met,62.02,1059,2865,3924,10,9,adaptive_hybrid,,,
exp05_hybrid_l0.1,cs_03,swm4,0,B2,4,Functional termination condition met,54.96,1047,1331,2378,10,9,adaptive_hybrid,,,
exp05_hybrid_l0.1,hist_01,swm4,0,B2,4,Functional termination condition met,50.84,2236,1306,3542,4,3,adaptive_hybrid,,,
exp05_hybrid_l0.1,hist_02,swm4,0,B2,4,Functional termination condition met,61.5,1092,1380,2472,8,7,adaptive_hybrid,,,
exp05_hybrid_l0.1,hist_03,swm4,0,B2,4,Functional termination condition met,58.76,1820,1456,3276,8,7,adaptive_hybrid,,,
exp05_hybrid_l0.1,phil_01,swm4,0,B2,4,"Text 'TERMINATE' mentioned, Functional termination condition met",55.35,2180,1383,3563,6,5,keyword_hybrid,,,
exp05_hybrid_l0.1,phil_02,swm4,0,B2,4,Functional termination condition met,64.2,3113,1867,4980,8,7,adaptive_hybrid,,,
exp05_hybrid_l0.1,phil_03,swm4,0,B2,4,Functional termination condition met,57.17,1336,1133,2469,6,5,adaptive_hybrid,,,
exp05_hybrid_l0.1,law_01,swm4,0,B2,4,Functional termination condition met,61.69,2646,1852,4498,8,7,adaptive_hybrid,,,
exp05_hybrid_l0.1,law_02,swm4,0,B2,4,Functional termination condition met,58.12,1116,1727,2843,8,7,adaptive_hybrid,,,
exp05_hybrid_l0.1,law_03,swm4,0,B2,4,Functional termination condition met,57.11,1086,1430,2516,10,9,adaptive_hybrid,,,
exp05_hybrid_l0.1,game_01,swm4,0,B2,4,Functional termination condition met,65.26,3381,2010,5391,6,5,adaptive_hybrid,,,
exp05_hybrid_l0.1,game_02,swm4,0,B2,4,Functional termination condition met,63.95,1074,2018,3092,10,9,adaptive_hybrid,,,
exp05_hybrid_l0.1,game_03,swm4,0,B2,4,Functional termination condition met,71.4,1095,2786,3881,10,9,adaptive_hybrid,,,
exp05_hybrid_l0.1,eng_01,swm4,0,B2,4,Functional termination condition met,53.22,1135,936,2071,10,9,adaptive_hybrid,,,
exp05_hybrid_l0.1,eng_02,swm4,0,B2,4,Functional termination condition met,58.25,1062,1823,2885,10,9,adaptive_hybrid,,,
exp05_hybrid_l0.1,eng_03,swm4,0,B2,4,Functional termination condition met,57.75,1062,2044,3106,10,9,adaptive_hybrid,,,
exp05_hybrid_l0.1,biz_01,swm4,0,B2,4,Functional termination condition met,60.51,3274,2194,5468,6,5,adaptive_hybrid,,,
exp05_hybrid_l0.1,biz_02,swm4,0,B2,4,Functional termination condition met,59.54,1098,1730,2828,10,9,adaptive_hybrid,,,
