experiment_id,task_id,pattern,repeat_index,pattern_category,agent_count,stop_reason,duration_sec,total_tokens_in,total_tokens_out,total_tokens,turn_count,agent_turn_count,terminated_by,error,quality_score,converged_at
exp01_cross_gpt4omini,sci_01,sel4,0,B1,4,Text 'TERMINATE' mentioned,30.38,2298,1740,4038,4,3,keyword,,,
exp01_cross_gpt4omini,sci_02,sel4,0,B1,4,Text 'TERMINATE' mentioned,35.07,2947,2030,4977,4,3,keyword,,,
exp01_cross_gpt4omini,sci_03,sel4,0,B1,4,Text 'TERMINATE' mentioned,15.54,776,959,1735,3,2,keyword,,,
exp01_cross_gpt4omini,cs_01,sel4,0,B1,4,Text 'TERMINATE' mentioned,42.96,2826,2684,5510,4,3,keyword,,,
exp01_cross_gpt4omini,cs_02,sel4,0,B1,4,Text 'TERMINATE' mentioned,33.11,1103,2038,3141,3,2,keyword,,,
exp01_cross_gpt4omini,cs_03,sel4,0,B1,4,Text 'TERMINATE' mentioned,46.44,5072,2961,8033,5,4,keyword,,,
exp01_cross_gpt4omini,hist_01,sel4,0,B1,4,Text 'TERMINATE' mentioned,42.73,4901,2824,7725,5,4,keyword,,,
exp01_cross_gpt4omini,hist_02,sel4,0,B1,4,Text 'TERMINATE' mentioned,20.1,977,1142,2119,3,2,keyword,,,
exp01_cross_gpt4omini,hist_03,sel4,0,B1,4,Text 'TERMINATE' mentioned,16.29,935,996,1931,3,2,keyword,,,
exp01_cross_gpt4omini,phil_01,sel4,0,B1,4,Text 'TERMINATE' mentioned,40.74,2614,2308,4922,4,3,keyword,,,
exp01_cross_gpt4omini,phil_02,sel4,0,B1,4,Text 'TERMINATE' mentioned,39.18,2545,2313,4858,4,3,keyword,,,
exp01_cross_gpt4omini,phil_03,sel4,0,B1,4,Text 'TERMINATE' mentioned,16.17,783,937,1720,3,2,keyword,,,
exp01_cross_gpt4omini,law_01,sel4,0,B1,4,Text 'TERMINATE' mentioned,37.65,2177,1886,4063,4,3,keyword,,,
exp01_cross_gpt4omini,law_02,sel4,0,B1,4,Text 'TERMINATE' mentioned,40.25,2804,2238,5042,4,3,keyword,,,
exp01_cross_gpt4omini,law_03,sel4,0,B1,4,Text 'TERMINATE' mentioned,36.18,2397,1776,4173,4,3,keyword,,,
exp01_cross_gpt4omini,game_01,sel4,0,B1,4,Text 'TERMINATE' mentioned,18.06,943,1042,1985,3,2,keyword,,,
exp01_cross_gpt4omini,game_02,sel4,0,B1,4,Text 'TERMINATE' mentioned,41.01,2864,2187,5051,4,3,keyword,,,
exp01_cross_gpt4omini,game_03,sel4,0,B1,4,Text 'TERMINATE' mentioned,16.9,910,982,1892,3,2,keyword,,,
exp01_cross_gpt4omini,eng_01,sel4,0,B1,4,Text 'TERMINATE' mentioned,37.37,2516,2084,4600,4,3,keyword,,,
exp01_cross_gpt4omini,eng_02,sel4,0,B1,4,Text 'TERMINATE' mentioned,47.19,3250,2578,5828,4,3,keyword,,,
exp01_cross_gpt4omini,eng_03,sel4,0,B1,4,Text 'TERMINATE' mentioned,33.46,2465,1969,4434,4,3,keyword,,,
exp01_cross_gpt4omini,biz_01,sel4,0,B1,4,Text 'TERMINATE' mentioned,39.81,2975,2352,5327,4,3,keyword,,,
exp01_cross_gpt4omini,biz_02,sel4,0,B1,4,Text 'TERMINATE' mentioned,15.31,926,1014,1940,3,2,keyword,,,
exp01_cross_gpt4omini,biz_03,sel4,0,B1,4,Text 'TERMINATE' mentioned,36.58,2465,2042,4507,4,3,keyword,,,
exp01_cross_gpt4omini,med_01,sel4,0,B1,4,Text 'TERMINATE' mentioned,35.91,2231,1848,4079,4,3,keyword,,,
exp01_cross_gpt4omini,sci_01,swm4,0,B2,4,"Maximum number of messages 12 reached, current message count: 12",17.52,6911,639,7550,17,16,max_messages,,,
exp01_cross_gpt4omini,sci_02,swm4,0,B2,4,Text 'TERMINATE' mentioned,23.12,3632,1010,4642,13,12,keyword,,,
exp01_cross_gpt4omini,sci_03,swm4,0,B2,4,"Maximum number of messages 12 reached, current message count: 12",34.85,9665,1468,11133,22,21,max_messages,,,
exp01_cross_gpt4omini,cs_01,swm4,0,B2,4,"Maximum number of messages 12 reached, current message count: 12",21.63,8455,834,9289,22,21,max_messages,,,
exp01_cross_gpt4omini,cs_02,swm4,0,B2,4,"Maximum number of messages 12 reached, current message count: 12",35.27,12020,1475,13495,31,30,max_messages,,,
exp01_cross_gpt4omini,cs_03,swm4,0,B2,4,"Maximum number of messages 12 reached, current message count: 12",27.47,10047,1166,11213,25,24,max_messages,,,
exp01_cross_gpt4omini,hist_01,swm4,0,B2,4,"Maximum number of messages 12 reached, current message count: 12",25.99,9528,1074,10602,22,21,max_messages,,,
exp01_cross_gpt4omini,hist_02,swm4,0,B2,4,"Maximum number of messages 12 reached, current message count: 12",25.86,10709,1149,11858,17,16,max_messages,,,
exp01_cross_gpt4omini,hist_03,swm4,0,B2,4,"Maximum number of messages 12 reached, current message count: 12",155.8,47486,9138,56624,12,11,max_messages,,,
exp01_cross_gpt4omini,phil_01,swm4,0,B2,4,Text 'TERMINATE' mentioned,31.52,2877,1425,4302,12,11,keyword,,,
exp01_cross_gpt4omini,phil_02,swm4,0,B2,4,"Maximum number of messages 12 reached, current message count: 12",26.76,9963,1159,11122,26,25,max_messages,,,
exp01_cross_gpt4omini,phil_03,swm4,0,B2,4,"Maximum number of messages 12 reached, current message count: 12",21.8,8391,799,9190,18,17,max_messages,,,
exp01_cross_gpt4omini,law_01,swm4,0,B2,4,"Maximum number of messages 12 reached, current message count: 12",23.81,8388,851,9239,20,19,max_messages,,,
exp01_cross_gpt4omini,law_02,swm4,0,B2,4,"Maximum number of messages 12 reached, current message count: 12",38.85,13770,1545,15315,24,23,max_messages,,,
exp01_cross_gpt4omini,law_03,swm4,0,B2,4,"Maximum number of messages 12 reached, current message count: 12",35.77,10583,1413,11996,31,30,max_messages,,,
exp01_cross_gpt4omini,game_01,swm4,0,B2,4,"Maximum number of messages 12 reached, current message count: 12",28.87,9795,992,10787,16,15,max_messages,,,
exp01_cross_gpt4omini,game_02,swm4,0,B2,4,"Maximum number of messages 12 reached, current message count: 12",33.29,11713,1326,13039,29,28,max_messages,,,
exp01_cross_gpt4omini,game_03,swm4,0,B2,4,"Maximum number of messages 12 reached, current message count: 12",27.14,9344,979,10323,17,16,max_messages,,,
exp01_cross_gpt4omini,eng_01,swm4,0,B2,4,"Maximum number of messages 12 reached, current message count: 12",33.15,9080,980,10060,16,15,max_messages,,,
exp01_cross_gpt4omini,eng_02,swm4,0,B2,4,Text 'TERMINATE' mentioned,31.72,5074,1133,6207,19,18,keyword,,,
exp01_cross_gpt4omini,eng_03,swm4,0,B2,4,Text 'TERMINATE' mentioned,18.13,3711,818,4529,15,14,keyword,,,
exp01_cross_gpt4omini,biz_01,swm4,0,B2,4,,47.33,0,0,0,0,0,,"RuntimeError: BadRequestError: Error code: 400 - {'error': {'message': ""We could not parse the JSON body of your request. (HINT: This likely means you aren't using your HTTP library correctly. The OpenAI API expects a JSON payload, but what was sent was not valid JSON. If you have trouble figuring out how to fix this, please contact us through our help center at help.openai.com.)"", 'type': 'invalid_request_error', 'param': None, 'code': None}}
Traceback:
Traceback (most recent call last):

  File ""D:\Data\22_",,
exp01_cross_gpt4omini,biz_02,swm4,0,B2,4,Text 'TERMINATE' mentioned,16.68,2650,764,3414,12,11,keyword,,,
exp01_cross_gpt4omini,biz_03,swm4,0,B2,4,"Maximum number of messages 12 reached, current message count: 12",21.33,8186,841,9027,30,29,max_messages,,,
