experiment_id,task_id,pattern,repeat_index,pattern_category,agent_count,stop_reason,duration_sec,total_tokens_in,total_tokens_out,total_tokens,turn_count,agent_turn_count,terminated_by,error,quality_score,converged_at
exp01,sci_01,rr3,0,A,3,Text 'TERMINATE' mentioned,46.73,2272,1528,3800,4,3,keyword,,,
exp01,sci_02,rr3,0,A,3,Text 'TERMINATE' mentioned,77.68,1798,5127,6925,4,3,keyword,,,
exp01,sci_03,rr3,0,A,3,Text 'TERMINATE' mentioned,176.14,7441,10372,17813,7,6,keyword,,,
exp01,cs_01,rr3,0,A,3,Text 'TERMINATE' mentioned,52.27,5109,4037,9146,4,3,keyword,,,
exp01,cs_02,rr3,0,A,3,Text 'TERMINATE' mentioned,173.62,3181,18187,21368,7,6,keyword,,,
exp01,cs_03,rr3,0,A,3,Text 'TERMINATE' mentioned,66.81,5262,4400,9662,4,3,keyword,,,
exp01,hist_01,rr3,0,A,3,Text 'TERMINATE' mentioned,58.7,2370,1810,4180,4,3,keyword,,,
exp01,hist_02,rr3,0,A,3,Text 'TERMINATE' mentioned,80.59,3665,2912,6577,4,3,keyword,,,
exp01,hist_03,rr3,0,A,3,Text 'TERMINATE' mentioned,90.87,5319,4823,10142,4,3,keyword,,,
exp01,phil_01,rr3,0,A,3,Text 'TERMINATE' mentioned,67.98,2881,2134,5015,4,3,keyword,,,
exp01,phil_02,rr3,0,A,3,Text 'TERMINATE' mentioned,66.64,5382,4308,9690,4,3,keyword,,,
exp01,phil_03,rr3,0,A,3,Text 'TERMINATE' mentioned,78.78,4086,4965,9051,4,3,keyword,,,
exp01,law_01,rr3,0,A,3,Text 'TERMINATE' mentioned,49.97,2867,2043,4910,4,3,keyword,,,
exp01,law_02,rr3,0,A,3,Text 'TERMINATE' mentioned,126.04,3448,10638,14086,4,3,keyword,,,
exp01,law_03,rr3,0,A,3,Text 'TERMINATE' mentioned,326.14,2697,30639,33336,7,6,keyword,,,
exp01,game_01,rr3,0,A,3,Text 'TERMINATE' mentioned,59.57,4112,3398,7510,4,3,keyword,,,
exp01,game_02,rr3,0,A,3,Text 'TERMINATE' mentioned,377.82,86,44416,44502,7,6,keyword,,,
exp01,game_03,rr3,0,A,3,Text 'TERMINATE' mentioned,112.19,2115,7595,9710,4,3,keyword,,,
exp01,eng_01,rr3,0,A,3,Text 'TERMINATE' mentioned,58.21,5983,3982,9965,4,3,keyword,,,
exp01,eng_02,rr3,0,A,3,Text 'TERMINATE' mentioned,81.35,2558,5963,8521,4,3,keyword,,,
