experiment_id,task_id,pattern,repeat_index,pattern_category,agent_count,stop_reason,duration_sec,total_tokens_in,total_tokens_out,total_tokens,turn_count,agent_turn_count,terminated_by,error,quality_score,converged_at
exp01,fact_01,pipe,0,D,5,Text 'TERMINATE' mentioned,148.91,4819,8973,13792,7,5,keyword,,,
exp01,fact_01,pipe,1,D,5,Text 'TERMINATE' mentioned,84.18,5489,4896,10385,6,4,keyword,,,
exp01,fact_01,pipe,2,D,5,Text 'TERMINATE' mentioned,99.04,2190,6513,8703,6,4,keyword,,,
exp01,fact_02,pipe,0,D,5,Text 'TERMINATE' mentioned,48.4,2450,2159,4609,5,3,keyword,,,
exp01,fact_02,pipe,1,D,5,Text 'TERMINATE' mentioned,44.58,2308,1834,4142,5,3,keyword,,,
exp01,fact_02,pipe,2,D,5,Text 'TERMINATE' mentioned,45.83,2501,2001,4502,5,3,keyword,,,
exp01,fact_03,pipe,0,D,5,Text 'TERMINATE' mentioned,98.92,6994,5856,12850,6,4,keyword,,,
exp01,fact_03,pipe,1,D,5,Text 'TERMINATE' mentioned,143.81,3336,10669,14005,6,4,keyword,,,
exp01,fact_03,pipe,2,D,5,Text 'TERMINATE' mentioned,75.46,3967,3708,7675,6,4,keyword,,,
exp01,fact_04,pipe,0,D,5,Text 'TERMINATE' mentioned,84.28,5443,4505,9948,6,4,keyword,,,
exp01,fact_04,pipe,1,D,5,Text 'TERMINATE' mentioned,98.2,6575,5281,11856,6,4,keyword,,,
exp01,fact_04,pipe,2,D,5,Text 'TERMINATE' mentioned,73.2,4215,3517,7732,6,4,keyword,,,
exp01,fact_05,pipe,0,D,5,Text 'TERMINATE' mentioned,149.5,3696,11749,15445,6,4,keyword,,,
exp01,fact_05,pipe,1,D,5,Text 'TERMINATE' mentioned,98.15,3901,7613,11514,6,4,keyword,,,
exp01,fact_05,pipe,2,D,5,Text 'TERMINATE' mentioned,89.41,6331,5468,11799,6,4,keyword,,,
exp01,crea_01,pipe,0,D,5,Text 'TERMINATE' mentioned,211.06,5979,17317,23296,7,5,keyword,,,
exp01,crea_01,pipe,1,D,5,Text 'TERMINATE' mentioned,152.82,4417,11724,16141,6,4,keyword,,,
exp01,crea_01,pipe,2,D,5,Text 'TERMINATE' mentioned,221.0,5602,14947,20549,7,5,keyword,,,
exp01,crea_02,pipe,0,D,5,Text 'TERMINATE' mentioned,142.17,7833,6139,13972,7,5,keyword,,,
exp01,crea_02,pipe,1,D,5,Text 'TERMINATE' mentioned,125.38,5571,4010,9581,7,5,keyword,,,
