experiment_id,task_id,pattern,repeat_index,pattern_category,agent_count,stop_reason,duration_sec,total_tokens_in,total_tokens_out,total_tokens,turn_count,agent_turn_count,terminated_by,error,quality_score,converged_at
exp01,fact_01,refl2,0,C,2,Text 'APPROVED' mentioned,43.81,980,1368,2348,3,2,keyword,,,
exp01,fact_01,refl2,1,C,2,Text 'APPROVED' mentioned,45.66,1015,1183,2198,3,2,keyword,,,
exp01,fact_01,refl2,2,C,2,Text 'APPROVED' mentioned,37.36,1117,1571,2688,3,2,keyword,,,
exp01,fact_02,refl2,0,C,2,Text 'APPROVED' mentioned,36.91,934,1406,2340,3,2,keyword,,,
exp01,fact_02,refl2,1,C,2,Text 'APPROVED' mentioned,33.1,821,1304,2125,3,2,keyword,,,
exp01,fact_02,refl2,2,C,2,Text 'APPROVED' mentioned,42.02,859,1229,2088,3,2,keyword,,,
exp01,fact_03,refl2,0,C,2,Text 'APPROVED' mentioned,46.53,1618,2125,3743,3,2,keyword,,,
exp01,fact_03,refl2,1,C,2,Text 'APPROVED' mentioned,47.71,1564,2074,3638,3,2,keyword,,,
exp01,fact_03,refl2,2,C,2,Text 'APPROVED' mentioned,36.92,1695,1906,3601,3,2,keyword,,,
exp01,fact_04,refl2,0,C,2,Text 'APPROVED' mentioned,45.53,1198,1776,2974,3,2,keyword,,,
exp01,fact_04,refl2,1,C,2,Text 'APPROVED' mentioned,43.38,1221,1535,2756,3,2,keyword,,,
exp01,fact_04,refl2,2,C,2,Text 'APPROVED' mentioned,44.65,1143,1563,2706,3,2,keyword,,,
exp01,fact_05,refl2,0,C,2,Text 'APPROVED' mentioned,46.07,1582,1830,3412,3,2,keyword,,,
exp01,fact_05,refl2,1,C,2,Text 'APPROVED' mentioned,49.88,1926,2520,4446,3,2,keyword,,,
exp01,fact_05,refl2,2,C,2,Text 'APPROVED' mentioned,49.49,1529,2076,3605,3,2,keyword,,,
exp01,crea_01,refl2,0,C,2,Text 'APPROVED' mentioned,47.52,1542,2024,3566,3,2,keyword,,,
exp01,crea_01,refl2,1,C,2,Text 'APPROVED' mentioned,185.25,4524,13494,18018,5,4,keyword,,,
exp01,crea_01,refl2,2,C,2,Text 'APPROVED' mentioned,56.76,2364,2846,5210,3,2,keyword,,,
exp01,crea_02,refl2,0,C,2,Text 'APPROVED' mentioned,43.98,840,1199,2039,3,2,keyword,,,
exp01,crea_02,refl2,1,C,2,Text 'APPROVED' mentioned,45.46,806,1155,1961,3,2,keyword,,,
exp01,crea_02,refl2,2,C,2,Text 'APPROVED' mentioned,45.47,820,1227,2047,3,2,keyword,,,
exp01,crea_03,refl2,0,C,2,Text 'APPROVED' mentioned,58.65,1866,2504,4370,3,2,keyword,,,
exp01,crea_03,refl2,1,C,2,Text 'APPROVED' mentioned,198.95,4235,12959,17194,5,4,keyword,,,
exp01,crea_03,refl2,2,C,2,Text 'APPROVED' mentioned,45.38,1605,2383,3988,3,2,keyword,,,
exp01,crea_04,refl2,0,C,2,Text 'APPROVED' mentioned,60.35,2028,2817,4845,3,2,keyword,,,
exp01,crea_04,refl2,1,C,2,Text 'APPROVED' mentioned,59.04,2064,2688,4752,3,2,keyword,,,
exp01,crea_04,refl2,2,C,2,Text 'APPROVED' mentioned,60.95,2291,3170,5461,3,2,keyword,,,
exp01,crea_05,refl2,0,C,2,Text 'APPROVED' mentioned,82.76,4146,2685,6831,5,4,keyword,,,
exp01,crea_05,refl2,1,C,2,Text 'APPROVED' mentioned,42.51,776,1074,1850,3,2,keyword,,,
exp01,crea_05,refl2,2,C,2,Text 'APPROVED' mentioned,41.05,748,976,1724,3,2,keyword,,,
exp01,anal_01,refl2,0,C,2,Text 'APPROVED' mentioned,46.99,1264,1488,2752,3,2,keyword,,,
exp01,anal_01,refl2,1,C,2,Text 'APPROVED' mentioned,47.04,1197,1738,2935,3,2,keyword,,,
exp01,anal_01,refl2,2,C,2,Text 'APPROVED' mentioned,49.4,1285,1866,3151,3,2,keyword,,,
exp01,anal_02,refl2,0,C,2,Text 'APPROVED' mentioned,46.15,1030,1753,2783,3,2,keyword,,,
exp01,anal_02,refl2,1,C,2,Text 'APPROVED' mentioned,49.04,1334,1797,3131,3,2,keyword,,,
exp01,anal_02,refl2,2,C,2,Text 'APPROVED' mentioned,49.49,1145,1813,2958,3,2,keyword,,,
exp01,anal_03,refl2,0,C,2,Text 'APPROVED' mentioned,46.94,999,1568,2567,3,2,keyword,,,
exp01,anal_03,refl2,1,C,2,Text 'APPROVED' mentioned,46.86,1305,1531,2836,3,2,keyword,,,
exp01,anal_03,refl2,2,C,2,Text 'APPROVED' mentioned,50.47,1335,1834,3169,3,2,keyword,,,
exp01,anal_04,refl2,0,C,2,Text 'APPROVED' mentioned,51.52,1947,2745,4692,3,2,keyword,,,
exp01,anal_04,refl2,1,C,2,Text 'APPROVED' mentioned,51.31,2145,2736,4881,3,2,keyword,,,
exp01,anal_04,refl2,2,C,2,Text 'APPROVED' mentioned,47.57,1769,2383,4152,3,2,keyword,,,
exp01,anal_05,refl2,0,C,2,Text 'APPROVED' mentioned,36.49,1411,1581,2992,3,2,keyword,,,
exp01,anal_05,refl2,1,C,2,Text 'APPROVED' mentioned,35.86,1846,2724,4570,3,2,keyword,,,
exp01,anal_05,refl2,2,C,2,Text 'APPROVED' mentioned,37.71,1547,1803,3350,3,2,keyword,,,
exp01,tech_01,refl2,0,C,2,Text 'APPROVED' mentioned,62.93,81,5989,6070,3,2,keyword,,,
exp01,tech_01,refl2,1,C,2,Text 'APPROVED' mentioned,73.79,81,7924,8005,3,2,keyword,,,
exp01,tech_01,refl2,2,C,2,Text 'APPROVED' mentioned,79.05,81,8636,8717,3,2,keyword,,,
exp01,tech_02,refl2,0,C,2,Text 'APPROVED' mentioned,66.9,78,6430,6508,3,2,keyword,,,
exp01,tech_02,refl2,1,C,2,Text 'APPROVED' mentioned,65.77,78,6350,6428,3,2,keyword,,,
exp01,tech_02,refl2,2,C,2,Text 'APPROVED' mentioned,75.85,78,7661,7739,3,2,keyword,,,
