experiment_id,task_id,pattern,repeat_index,pattern_category,agent_count,stop_reason,duration_sec,total_tokens_in,total_tokens_out,total_tokens,turn_count,agent_turn_count,terminated_by,error,quality_score,converged_at
exp07,sci_easy,solo,0,S,1,Text 'TERMINATE' mentioned,3.39,59,154,213,2,1,keyword,,,
exp07,sci_easy,solo,1,S,1,Text 'TERMINATE' mentioned,5.49,59,227,286,2,1,keyword,,,
exp07,sci_easy,solo,2,S,1,Text 'TERMINATE' mentioned,3.86,59,211,270,2,1,keyword,,,
exp07,sci_med,solo,0,S,1,Text 'TERMINATE' mentioned,8.91,65,479,544,2,1,keyword,,,
exp07,sci_med,solo,1,S,1,Text 'TERMINATE' mentioned,7.18,65,435,500,2,1,keyword,,,
exp07,sci_med,solo,2,S,1,Text 'TERMINATE' mentioned,7.77,65,467,532,2,1,keyword,,,
exp07,sci_hard,solo,0,S,1,Text 'TERMINATE' mentioned,13.42,87,825,912,2,1,keyword,,,
exp07,sci_hard,solo,1,S,1,Text 'TERMINATE' mentioned,12.62,87,745,832,2,1,keyword,,,
exp07,sci_hard,solo,2,S,1,Text 'TERMINATE' mentioned,12.85,87,720,807,2,1,keyword,,,
exp07,cs_easy,solo,0,S,1,Text 'TERMINATE' mentioned,11.85,57,638,695,2,1,keyword,,,
exp07,cs_easy,solo,1,S,1,Text 'TERMINATE' mentioned,9.09,57,590,647,2,1,keyword,,,
exp07,cs_easy,solo,2,S,1,Text 'TERMINATE' mentioned,7.01,57,416,473,2,1,keyword,,,
exp07,cs_med,solo,0,S,1,Text 'TERMINATE' mentioned,11.6,64,646,710,2,1,keyword,,,
exp07,cs_med,solo,1,S,1,Text 'TERMINATE' mentioned,12.14,64,667,731,2,1,keyword,,,
exp07,cs_med,solo,2,S,1,Text 'TERMINATE' mentioned,10.94,64,591,655,2,1,keyword,,,
exp07,cs_hard,solo,0,S,1,Text 'TERMINATE' mentioned,16.55,93,933,1026,2,1,keyword,,,
exp07,cs_hard,solo,1,S,1,Text 'TERMINATE' mentioned,14.99,93,812,905,2,1,keyword,,,
exp07,cs_hard,solo,2,S,1,Text 'TERMINATE' mentioned,16.6,93,919,1012,2,1,keyword,,,
exp07,hist_easy,solo,0,S,1,Text 'TERMINATE' mentioned,5.32,54,260,314,2,1,keyword,,,
exp07,hist_easy,solo,1,S,1,Text 'TERMINATE' mentioned,5.02,54,268,322,2,1,keyword,,,
exp07,hist_easy,solo,2,S,1,Text 'TERMINATE' mentioned,4.18,54,259,313,2,1,keyword,,,
exp07,hist_med,solo,0,S,1,Text 'TERMINATE' mentioned,14.31,67,719,786,2,1,keyword,,,
exp07,hist_med,solo,1,S,1,Text 'TERMINATE' mentioned,11.2,67,614,681,2,1,keyword,,,
exp07,hist_med,solo,2,S,1,Text 'TERMINATE' mentioned,13.22,67,663,730,2,1,keyword,,,
exp07,hist_hard,solo,0,S,1,Text 'TERMINATE' mentioned,12.63,90,776,866,2,1,keyword,,,
exp07,hist_hard,solo,1,S,1,Text 'TERMINATE' mentioned,9.42,90,650,740,2,1,keyword,,,
exp07,hist_hard,solo,2,S,1,Text 'TERMINATE' mentioned,15.23,90,729,819,2,1,keyword,,,
exp07,eng_easy,solo,0,S,1,Text 'TERMINATE' mentioned,6.02,58,308,366,2,1,keyword,,,
exp07,eng_easy,solo,1,S,1,Text 'TERMINATE' mentioned,5.14,58,277,335,2,1,keyword,,,
exp07,eng_easy,solo,2,S,1,,2.8,0,0,0,0,0,,"RuntimeError: BadRequestError: Error code: 400 - {'error': {'message': ""We could not parse the JSON body of your request. (HINT: This likely means you aren't using your HTTP library correctly. The OpenAI API expects a JSON payload, but what was sent was not valid JSON. If you have trouble figuring out how to fix this, please contact us through our help center at help.openai.com.)"", 'type': 'invalid_request_error', 'param': None, 'code': None}}
Traceback:
Traceback (most recent call last):

  File ""D:\Data\22_",,
exp07,eng_med,solo,0,S,1,Text 'TERMINATE' mentioned,23.13,68,878,946,2,1,keyword,,,
exp07,eng_med,solo,1,S,1,Text 'TERMINATE' mentioned,11.79,68,687,755,2,1,keyword,,,
exp07,eng_med,solo,2,S,1,Text 'TERMINATE' mentioned,18.32,68,795,863,2,1,keyword,,,
exp07,eng_hard,solo,0,S,1,Text 'TERMINATE' mentioned,12.33,89,703,792,2,1,keyword,,,
exp07,eng_hard,solo,1,S,1,Text 'TERMINATE' mentioned,11.78,89,576,665,2,1,keyword,,,
exp07,eng_hard,solo,2,S,1,Text 'TERMINATE' mentioned,11.82,89,692,781,2,1,keyword,,,
exp07,biz_easy,solo,0,S,1,Text 'TERMINATE' mentioned,14.31,74,538,612,2,1,keyword,,,
exp07,biz_easy,solo,1,S,1,Text 'TERMINATE' mentioned,11.35,74,563,637,2,1,keyword,,,
exp07,biz_easy,solo,2,S,1,Text 'TERMINATE' mentioned,14.39,74,572,646,2,1,keyword,,,
exp07,biz_med,solo,0,S,1,Text 'TERMINATE' mentioned,12.83,78,560,638,2,1,keyword,,,
exp07,biz_med,solo,1,S,1,Text 'TERMINATE' mentioned,11.08,78,569,647,2,1,keyword,,,
exp07,biz_med,solo,2,S,1,Text 'TERMINATE' mentioned,16.16,78,606,684,2,1,keyword,,,
exp07,biz_hard,solo,0,S,1,Text 'TERMINATE' mentioned,18.54,91,708,799,2,1,keyword,,,
exp07,biz_hard,solo,1,S,1,Text 'TERMINATE' mentioned,19.07,91,780,871,2,1,keyword,,,
exp07,biz_hard,solo,2,S,1,Text 'TERMINATE' mentioned,17.79,91,837,928,2,1,keyword,,,
exp07,sci_easy,swm3,0,B2,3,Text 'TERMINATE' mentioned,6.32,213,159,372,5,4,keyword,,,
exp07,sci_easy,swm3,1,B2,3,Text 'TERMINATE' mentioned,6.64,213,241,454,5,4,keyword,,,
exp07,sci_easy,swm3,2,B2,3,Text 'TERMINATE' mentioned,6.95,213,291,504,5,4,keyword,,,
exp07,sci_med,swm3,0,B2,3,"Maximum number of messages 10 reached, current message count: 10",22.38,4079,906,4985,22,21,max_messages,,,
exp07,sci_med,swm3,1,B2,3,"Maximum number of messages 10 reached, current message count: 10",21.11,3556,763,4319,24,23,max_messages,,,
exp07,sci_med,swm3,2,B2,3,"Maximum number of messages 10 reached, current message count: 10",18.22,4862,759,5621,22,21,max_messages,,,
exp07,sci_hard,swm3,0,B2,3,Text 'TERMINATE' mentioned,12.68,3007,783,3790,12,11,keyword,,,
exp07,sci_hard,swm3,1,B2,3,Text 'TERMINATE' mentioned,14.7,269,800,1069,5,4,keyword,,,
exp07,sci_hard,swm3,2,B2,3,Text 'TERMINATE' mentioned,12.47,269,707,976,5,4,keyword,,,
exp07,cs_easy,swm3,0,B2,3,Text 'TERMINATE' mentioned,10.1,209,574,783,5,4,keyword,,,
exp07,cs_easy,swm3,1,B2,3,Text 'TERMINATE' mentioned,15.07,209,566,775,5,4,keyword,,,
exp07,cs_easy,swm3,2,B2,3,Text 'TERMINATE' mentioned,8.1,209,470,679,5,4,keyword,,,
exp07,cs_med,swm3,0,B2,3,"Maximum number of messages 10 reached, current message count: 10",28.13,8107,1124,9231,20,19,max_messages,,,
exp07,cs_med,swm3,1,B2,3,Text 'TERMINATE' mentioned,16.7,223,809,1032,5,4,keyword,,,
exp07,cs_med,swm3,2,B2,3,Text 'TERMINATE' mentioned,13.46,223,714,937,5,4,keyword,,,
exp07,cs_hard,swm3,0,B2,3,Text 'TERMINATE' mentioned,20.28,281,907,1188,5,4,keyword,,,
exp07,cs_hard,swm3,1,B2,3,"Maximum number of messages 10 reached, current message count: 10",21.79,5909,938,6847,18,17,max_messages,,,
exp07,cs_hard,swm3,2,B2,3,Text 'TERMINATE' mentioned,16.93,281,949,1230,5,4,keyword,,,
exp07,hist_easy,swm3,0,B2,3,Text 'TERMINATE' mentioned,8.33,203,287,490,5,4,keyword,,,
exp07,hist_easy,swm3,1,B2,3,Text 'TERMINATE' mentioned,5.11,203,230,433,5,4,keyword,,,
exp07,hist_easy,swm3,2,B2,3,Text 'TERMINATE' mentioned,4.53,203,248,451,5,4,keyword,,,
exp07,hist_med,swm3,0,B2,3,"Maximum number of messages 10 reached, current message count: 10",22.33,4507,1053,5560,24,23,max_messages,,,
exp07,hist_med,swm3,1,B2,3,Text 'TERMINATE' mentioned,10.08,229,649,878,5,4,keyword,,,
exp07,hist_med,swm3,2,B2,3,"Maximum number of messages 10 reached, current message count: 10",28.42,2589,838,3427,26,25,max_messages,,,
exp07,hist_hard,swm3,0,B2,3,Text 'TERMINATE' mentioned,16.29,275,816,1091,5,4,keyword,,,
exp07,hist_hard,swm3,1,B2,3,Text 'TERMINATE' mentioned,19.25,1164,829,1993,17,16,keyword,,,
exp07,hist_hard,swm3,2,B2,3,Text 'TERMINATE' mentioned,16.57,275,766,1041,5,4,keyword,,,
exp07,eng_easy,swm3,0,B2,3,"Maximum number of messages 10 reached, current message count: 10",13.78,3680,476,4156,18,17,max_messages,,,
exp07,eng_easy,swm3,1,B2,3,Text 'TERMINATE' mentioned,6.84,211,295,506,5,4,keyword,,,
exp07,eng_easy,swm3,2,B2,3,"Maximum number of messages 10 reached, current message count: 10",40.43,6686,1420,8106,14,13,max_messages,,,
exp07,eng_med,swm3,0,B2,3,"Maximum number of messages 10 reached, current message count: 10",40.97,9139,1365,10504,18,17,max_messages,,,
exp07,eng_med,swm3,1,B2,3,Text 'TERMINATE' mentioned,22.76,2998,828,3826,12,11,keyword,,,
