experiment_id,task_id,pattern,repeat_index,pattern_category,agent_count,stop_reason,duration_sec,total_tokens_in,total_tokens_out,total_tokens,turn_count,agent_turn_count,terminated_by,error,quality_score,converged_at
exp07,sci_easy,solo,0,S,1,Text 'TERMINATE' mentioned,9.93,58,311,369,2,1,keyword,,,
exp07,sci_med,solo,0,S,1,Text 'TERMINATE' mentioned,15.85,64,891,955,2,1,keyword,,,
exp07,sci_hard,solo,0,S,1,Text 'TERMINATE' mentioned,64.35,86,3575,3661,2,1,keyword,,,
exp07,cs_easy,solo,0,S,1,Text 'TERMINATE' mentioned,8.96,56,571,627,2,1,keyword,,,
exp07,cs_med,solo,0,S,1,Text 'TERMINATE' mentioned,19.53,63,1150,1213,2,1,keyword,,,
exp07,cs_hard,solo,0,S,1,Text 'TERMINATE' mentioned,79.08,92,4457,4549,2,1,keyword,,,
exp07,hist_easy,solo,0,S,1,Text 'TERMINATE' mentioned,3.29,53,141,194,2,1,keyword,,,
exp07,hist_med,solo,0,S,1,Text 'TERMINATE' mentioned,29.81,66,1533,1599,2,1,keyword,,,
exp07,hist_hard,solo,0,S,1,Text 'TERMINATE' mentioned,64.26,89,2595,2684,2,1,keyword,,,
exp07,eng_easy,solo,0,S,1,Text 'TERMINATE' mentioned,4.13,57,134,191,2,1,keyword,,,
exp07,eng_med,solo,0,S,1,Text 'TERMINATE' mentioned,27.83,67,1345,1412,2,1,keyword,,,
exp07,eng_hard,solo,0,S,1,Text 'TERMINATE' mentioned,83.46,88,3943,4031,2,1,keyword,,,
exp07,biz_easy,solo,0,S,1,Text 'TERMINATE' mentioned,22.35,73,1141,1214,2,1,keyword,,,
exp07,biz_med,solo,0,S,1,Text 'TERMINATE' mentioned,26.62,77,1247,1324,2,1,keyword,,,
exp07,biz_hard,solo,0,S,1,Text 'TERMINATE' mentioned,98.54,90,4774,4864,2,1,keyword,,,
exp07,sci_easy,swm3,0,B2,3,Text 'TERMINATE' mentioned,10.21,381,447,828,5,4,keyword,,,
exp07,sci_med,swm3,0,B2,3,Text 'TERMINATE' mentioned,16.61,393,892,1285,5,4,keyword,,,
exp07,sci_hard,swm3,0,B2,3,"Maximum number of messages 10 reached, current message count: 10",195.28,46202,12690,58892,14,13,max_messages,,,
exp07,cs_easy,swm3,0,B2,3,Text 'TERMINATE' mentioned,11.83,377,647,1024,5,4,keyword,,,
exp07,cs_med,swm3,0,B2,3,Text 'TERMINATE' mentioned,20.99,391,1095,1486,5,4,keyword,,,
exp07,cs_hard,swm3,0,B2,3,"Maximum number of messages 10 reached, current message count: 10",337.12,92081,24192,116273,14,13,max_messages,,,
exp07,hist_easy,swm3,0,B2,3,Text 'TERMINATE' mentioned,5.1,371,189,560,5,4,keyword,,,
exp07,hist_med,swm3,0,B2,3,Text 'TERMINATE' mentioned,36.75,397,1604,2001,5,4,keyword,,,
exp07,hist_hard,swm3,0,B2,3,Text 'TERMINATE' mentioned,55.04,443,2557,3000,5,4,keyword,,,
exp07,eng_easy,swm3,0,B2,3,Text 'TERMINATE' mentioned,4.23,379,203,582,5,4,keyword,,,
